,date,sales,sales_diff
1,2013-02-01,459417,4513.0
2,2013-03-01,617382,157965.0
3,2013-04-01,682274,64892.0
4,2013-05-01,763242,80968.0
5,2013-06-01,795597,32355.0
6,2013-07-01,855922,60325.0
7,2013-08-01,766761,-89161.0
8,2013-09-01,689907,-76854.0
9,2013-10-01,656587,-33320.0
10,2013-11-01,692643,36056.0
11,2013-12-01,506607,-186036.0
12,2014-01-01,525987,19380.0
13,2014-02-01,529117,3130.0
14,2014-03-01,704301,175184.0
15,2014-04-01,788914,84613.0
16,2014-05-01,882877,93963.0
17,2014-06-01,906842,23965.0
18,2014-07-01,989010,82168.0
19,2014-08-01,885596,-103414.0
20,2014-09-01,785124,-100472.0
21,2014-10-01,758883,-26241.0
22,2014-11-01,800783,41900.0
23,2014-12-01,578048,-222735.0
24,2015-01-01,552513,-25535.0
25,2015-02-01,551317,-1196.0
26,2015-03-01,730951,179634.0
27,2015-04-01,824467,93516.0
28,2015-05-01,926902,102435.0
29,2015-06-01,937184,10282.0
30,2015-07-01,1037350,100166.0
31,2015-08-01,920401,-116949.0
32,2015-09-01,823332,-97069.0
33,2015-10-01,797253,-26079.0
34,2015-11-01,827645,30392.0
35,2015-12-01,607572,-220073.0
36,2016-01-01,602439,-5133.0
37,2016-02-01,614957,12518.0
38,2016-03-01,790881,175924.0
39,2016-04-01,901950,111069.0
40,2016-05-01,988730,86780.0
41,2016-06-01,1022664,33934.0
42,2016-07-01,1138718,116054.0
43,2016-08-01,981494,-157224.0
44,2016-09-01,896831,-84663.0
45,2016-10-01,863637,-33194.0
46,2016-11-01,891448,27811.0
47,2016-12-01,663411,-228037.0
48,2017-01-01,617306,-46105.0
49,2017-02-01,621369,4063.0
50,2017-03-01,822667,201298.0
51,2017-04-01,938862,116195.0
52,2017-05-01,1020686,81824.0
53,2017-06-01,1064624,43938.0
54,2017-07-01,1171393,106769.0
55,2017-08-01,1026403,-144990.0
56,2017-09-01,935263,-91140.0
57,2017-10-01,891160,-44103.0
58,2017-11-01,928837,37677.0
59,2017-12-01,695170,-233667.0
